iter	Passed	Remaining
0	151	151673
1	162	81277
2	173	57632
3	184	45825
4	194	38698
5	205	33991
6	215	30629
7	226	28091
8	237	26136
9	247	24551
10	258	23244
11	269	22160
12	279	21241
13	290	20444
14	300	19746
15	311	19152
16	322	18627
17	332	18147
18	343	17713
19	353	17335
20	364	16990
21	375	16687
22	385	16388
23	395	16103
24	409	15955
25	419	15733
26	430	15505
27	440	15298
28	452	15147
29	462	14963
30	473	14794
31	483	14640
32	494	14489
33	505	14353
34	515	14219
35	526	14098
36	538	14021
37	550	13937
38	561	13839
39	572	13735
40	582	13631
41	593	13532
42	603	13440
43	614	13348
44	624	13262
45	635	13177
46	646	13099
47	656	13018
48	666	12944
49	677	12876
50	688	12807
51	698	12738
52	709	12672
53	719	12610
54	730	12550
55	741	12495
56	752	12441
57	762	12387
58	773	12340
59	784	12286
60	794	12235
61	808	12225
62	818	12179
63	829	12131
64	841	12102
65	853	12074
66	864	12037
67	875	12003
68	886	11958
69	896	11914
70	907	11870
71	917	11825
72	927	11782
73	940	11770
74	954	11776
75	966	11756
76	980	11755
77	993	11741
78	1004	11705
79	1014	11666
80	1024	11628
81	1035	11590
82	1045	11553
83	1056	11517
84	1066	11481
85	1077	11446
86	1087	11414
87	1098	11379
88	1108	11344
89	1118	11310
90	1128	11277
91	1139	11246
92	1149	11214
93	1160	11181
94	1170	11150
95	1180	11118
96	1191	11088
97	1203	11078
98	1214	11048
99	1224	11020
100	1234	10991
101	1245	10962
102	1255	10934
103	1266	10907
104	1276	10878
105	1286	10848
106	1296	10822
107	1307	10795
108	1317	10768
109	1327	10740
110	1338	10720
111	1348	10692
112	1358	10666
113	1369	10641
114	1379	10616
115	1389	10591
116	1400	10568
117	1410	10545
118	1421	10524
119	1432	10504
120	1443	10483
121	1453	10460
122	1464	10440
123	1475	10421
124	1485	10400
125	1497	10388
126	1509	10374
127	1519	10354
128	1530	10331
129	1540	10310
130	1550	10288
131	1561	10267
132	1571	10246
133	1582	10226
134	1592	10206
135	1605	10197
136	1615	10179
137	1626	10158
138	1636	10138
139	1647	10120
140	1657	10100
141	1668	10080
142	1678	10058
143	1688	10038
144	1699	10018
145	1710	10003
146	1720	9982
147	1730	9964
148	1741	9949
149	1752	9931
150	1763	9913
151	1773	9894
152	1784	9876
153	1794	9858
154	1804	9838
155	1816	9825
156	1828	9819
157	1840	9807
158	1851	9791
159	1862	9775
160	1872	9758
161	1883	9741
162	1894	9725
163	1904	9708
164	1914	9691
165	1925	9674
166	1936	9657
167	1946	9640
168	1957	9624
169	1967	9606
